,Aatrox,Akali,Alistar,Amumu,Annie,AurelionSol,Bard,Blitzcrank,Brand,Braum,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,DrMundo,Ekko,Fiddlesticks,Galio,Garen,Gragas,Hecarim,Heimerdinger,Irelia,Janna,Jax,Jayce,Karma,Karthus,Kayle,Kayn,Kennen,Kindred,Kled,KogMaw,LeeSin,Leona,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nunu,Olaf,Ornn,Pantheon,Poppy,Pyke,Quinn,Rakan,Rammus,Renekton,Rengar,Riven,Ryze,Shen,Shyvana,Singed,Sion,Sona,Soraka,TahmKench,Taliyah,Taric,Teemo,Thresh,Trundle,Tryndamere,Veigar,Velkoz,Viktor,Vladimir,Volibear,Xerath,Yasuo,Zac,Ziggs,Zilean,Zoe,Zyra,Ahri,Shaco,Syndra,TwistedFate,Azir,Elise,Graves,Katarina,Lissandra,Sejuani,Talon,Urgot,Warwick,Zed,Anivia,Fizz,JarvanIV,Nidalee,Orianna,Skarner,Vi,Ashe,Gangplank,Gnar,Ivern,Kassadin,Khazix,Nocturne,RekSai,Rumble,Swain,Twitch,Udyr,Illaoi,Caitlyn,Kalista,MissFortune,Varus,Vayne,Draven,Ezreal,Jinx,Sivir,Tristana,Evelynn,Fiora,Yorick,Jhin,Lucian,Xayah,XinZhao,Kaisa,Leblanc
Aatrox,-0.1590741427500848,0.40430613894005607,-0.11697045680462476,0.0709728056067227,-0.23205749742358028,-0.5956938610599439,-0.18190075761166807,-0.08406595408319972,-0.2623605277266106,-0.045693861059943885,0.40430613894005607,0.40430613894005607,-0.5956938610599439,0.15430613894005607,0.40430613894005607,0.40430613894005607,0.40430613894005607,0.40430613894005607,-0.12378374870039338,0.40430613894005607,0.40430613894005607,-0.12967444358421576,0.40430613894005607,-0.1956938610599439,-0.2623605277266106,-0.16326142862751147,0.40430613894005607,-0.5956938610599439,-0.047306764285750424,0.15430613894005607,0.15430613894005607,0.0709728056067227,0.40430613894005607,0.40430613894005607,0.40430613894005607,-0.1956938610599439,0.40430613894005607,-0.33482429584255263,-0.1854374508035337,-0.01236052772661056,0.004306138940056048,-0.09569386105994393,-0.1512494166154995,0.40430613894005607,-0.09569386105994393,-0.2880015533676362,-0.12694386105994393,0.0872329682083488,-0.2623605277266106,-0.16236052772661058,0.23763947227338944,0.40430613894005607,0.40430613894005607,0.0709728056067227,0.15430613894005607,-0.027387850130982216,-0.5956938610599439,-0.11652719439327724,0.40430613894005607,-0.5956938610599439,-0.09569386105994393,-0.5956938610599439,-0.2623605277266106,0.004306138940056048,-0.5956938610599439,0.40430613894005607,-0.5956938610599439,-0.2110784764445593,-0.10851437388045676,0.047163281797198975,0.40430613894005607,0.18208391671783386,-0.2623605277266106,-0.10971255264872898,-0.5956938610599439,0.40430613894005607,0.004306138940056048,-0.183929155177591,0.15430613894005607,0.20430613894005611,0.0709728056067227,-0.30997957534565823,0.19002042465434177,0.40430613894005607,-0.09569386105994393,-0.1440809578341375,-0.09569386105994393,-0.016746492638891275,0.3757247802702347,0.014463473403102056,-0.04890093032828191,0.09663879476421094,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.08007735324470411,-0.041813533328524,-0.30416666099984013,0.017261910428731264,0.11387043659633556,0.12798986077783103,0.027109345005619567,0.04133325567177004,-0.03534592901152522,-0.013309158886994688,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Ahri,0.019429416167288382,0.07320245648098722,0.02006172839506165,-0.47993827160493835,0.050184893803644465,-0.055808105995172164,0.5200617283950617,-0.47993827160493835,-0.22993827160493835,0.011458045322517738,0.008611399444163281,-0.47993827160493835,-0.03065960337804738,0.02006172839506165,0.19364418004151795,-0.0012211578150428393,-0.022761355952870488,0.5200617283950617,0.5200617283950617,0.020686466671476,-0.04251505010365833,0.02006172839506165,0.5200617283950617,-0.013762184246626785,-0.47993827160493835,-0.22993827160493835,0.029615038100047397,-0.012072377516102906,-0.022009865440196046,-0.47993827160493835,0.07703760005851235,0.24419189400482788,0.06625006667217992,-0.047394992365861366,-0.004620194196135019,0.5200617283950617,0.12629645957670632,-0.47993827160493835,0.5200617283950617,0.02006172839506165,-0.002275970931438165,-0.06103603359192805,-0.47993827160493835,-0.47993827160493835,-0.47993827160493835,0.02943481676717974,0.5200617283950617,0.02006172839506165,0.13634519415344493,-0.04492264675529589,-0.47993827160493835,0.35213205370472705,-0.07289065499438041,0.050171717765082724,-0.47993827160493835,-0.22993827160493835,-0.011789126659512456,-0.050493269078309394,0.006239219032615206,0.2391365726517441,0.5200617283950617,-0.05416666099984013,-0.47993827160493835,0.27006172839506165,0.09377601167228622,0.009633550941241936,0.029450030361795054,-0.47993827160493835,-0.47993827160493835,0.02006172839506165,-0.12559523242841159,0.0013818566266951826,0.5200617283950617,-0.10493827160493835,0.02698192593033194,0.11387043659633556,0.5200617283950617,0.18672839506172828,-0.034588900574064774,0.027109345005619567,-0.47993827160493835,0.02006172839506165,0.5200617283950617,0.1149074321020861,0.02006172839506165,0.18672839506172828,0.0027593254852245064,-0.031038695326921273,-0.09104938271604945,0.5200617283950617,0.5200617283950617,0.5200617283950617,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.08007735324470411,-0.041813533328524,-0.30416666099984013,0.017261910428731264,0.11387043659633556,0.12798986077783103,0.027109345005619567,0.04133325567177004,-0.03534592901152522,-0.013309158886994688,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Akali,-0.11927398944456835,0.007998737828158964,-0.09295819997088417,-0.28594065611123504,-0.31927398944456836,0.38072601055543165,0.005726010555431649,0.05929743912686025,-0.0038893740599529325,0.25572601055543165,0.38072601055543165,0.08007735324470411,0.38072601055543165,-0.019273989444568373,0.19364418004151795,0.38072601055543165,-0.022761355952870488,0.38072601055543165,-0.1577355279061068,0.38072601055543165,0.38072601055543165,-0.08802398944456835,-0.11927398944456835,0.09501172484114595,-0.36927398944456835,-0.00022637039694928252,-0.11927398944456835,-0.6192739894445684,-0.11927398944456835,-0.24427398944456835,0.13072601055543165,0.38072601055543165,0.38072601055543165,-0.047394992365861366,-0.004620194196135019,0.1807260105554317,0.12629645957670632,-0.006370763638116728,-0.1455897789182526,-0.06371843388901277,-0.11927398944456835,-0.28594065611123504,-0.07381944399002294,0.04739267722209828,-0.11927398944456835,-0.11927398944456835,-0.09546446563504452,0.005726010555431649,0.13634519415344493,-0.2621311323017112,0.38072601055543165,0.38072601055543165,-0.07289065499438041,0.050171717765082724,-0.11927398944456835,-0.060134204498331845,-0.011789126659512456,0.0033675199893938856,0.006239219032615206,0.2391365726517441,-0.6192739894445684,-0.6192739894445684,0.13072601055543165,0.14072601055543166,-0.6192739894445684,0.38072601055543165,0.38072601055543165,-0.09546446563504452,-0.03594065611123498,0.017089646919068002,-0.6192739894445684,-0.0038893740599529325,-0.11927398944456835,-0.0038893740599529325,-0.6192739894445684,-0.6192739894445684,-0.21927398944456833,-0.11927398944456835,0.38072601055543165,0.04739267722209828,-0.41927398944456834,-0.1486857541504507,0.09501172484114595,0.38072601055543165,-0.07381944399002294,-0.20260732277790167,0.38072601055543165,-0.031038695326921273,0.3757247802702347,0.38072601055543165,-0.04890093032828191,0.09663879476421094,-0.28594065611123504,-0.6192739894445684,-0.11927398944456835,0.38072601055543165,0.38072601055543165,0.38072601055543165,0.38072601055543165,0.38072601055543165,0.38072601055543165,0.38072601055543165,0.04133325567177004,-0.03534592901152522,-0.013309158886994688,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Alistar,0.019429416167288382,0.07320245648098722,0.631578947368421,-0.018214369805278907,0.050184893803644465,-0.055808105995172164,0.00570530098831995,-0.014711365442875435,-0.034210329308369425,0.011458045322517738,0.008611399444163281,0.08007735324470411,-0.03065960337804738,0.14721142005343213,0.19364418004151795,-0.0012211578150428393,-0.022761355952870488,0.11977193813131293,-0.039433456371862186,0.020686466671476,-0.04251505010365833,-0.0400351368617623,0.25193137867583204,-0.013762184246626785,-0.055808105995172164,-0.07415648555303811,0.029615038100047397,-0.012072377516102906,-0.022009865440196046,-0.01836897580499608,0.07703760005851235,0.24419189400482788,0.06625006667217992,-0.047394992365861366,-0.004620194196135019,-0.01586405108049682,0.12629645957670632,-0.027198748989158528,-0.05369353342544818,-0.05786739941724134,-0.002275970931438165,-0.06103603359192805,-0.08650384753189005,0.1420927423737811,-0.04063751022268092,0.02943481676717974,-0.012313910393644625,-0.368421052631579,0.13634519415344493,-0.04492264675529589,0.08605350701425085,0.35213205370472705,-0.07289065499438041,0.050171717765082724,0.05337979291003969,-0.026893281155559612,-0.011789126659512456,-0.26315789473684226,0.006239219032615206,0.2391365726517441,0.03541836527452186,-0.05416666099984013,0.08485976822078856,-0.0322685366814921,0.09377601167228622,0.009633550941241936,0.029450030361795054,-0.16433088915633798,-0.055358469904972424,-0.007983777936989345,-0.12559523242841159,0.0013818566266951826,0.017472613072438636,-0.039701449260759636,0.02698192593033194,0.11387043659633556,-0.01586405108049682,-0.055521722241475446,-0.034588900574064774,0.027109345005619567,-0.02170204332950476,-0.036451851785554934,0.02142060001204632,0.1149074321020861,-0.11937012263099211,0.02751842751842748,0.0027593254852245064,-0.031038695326921273,0.3757247802702347,0.014463473403102056,-0.04890093032828191,0.09663879476421094,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.08007735324470411,-0.041813533328524,-0.30416666099984013,0.017261910428731264,0.11387043659633556,0.12798986077783103,0.027109345005619567,0.04133325567177004,-0.03534592901152522,-0.013309158886994688,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Amumu,0.019429416167288382,0.07320245648098722,-0.1434020392513507,-0.03725824840167749,0.050184893803644465,-0.055808105995172164,-0.3337288366369715,-0.03205701001158464,-0.22784648369579508,0.012153516304204868,0.008611399444163281,0.08007735324470411,-0.03065960337804738,0.14721142005343213,0.19364418004151795,-0.0012211578150428393,-0.022761355952870488,0.11977193813131293,0.10548684963753822,0.020686466671476,-0.04251505010365833,-0.0400351368617623,0.25193137867583204,-0.013762184246626785,-0.055808105995172164,-0.08117981702912849,0.029615038100047397,-0.012072377516102906,-0.04384648369579511,-0.01836897580499608,0.22215351630420482,0.24419189400482788,0.06625006667217992,-0.047394992365861366,-0.004620194196135019,-0.01586405108049682,0.12629645957670632,-0.03725824840167749,-0.18784648369579512,-0.4278464836957951,-0.002275970931438165,-0.06103603359192805,0.1521535163042049,0.1420927423737811,-0.04063751022268092,0.02943481676717974,0.2921535163042048,0.012153516304204868,0.13634519415344493,0.012153516304204868,0.08605350701425085,0.35213205370472705,-0.07289065499438041,0.050171717765082724,0.05337979291003969,0.033691977842666324,-0.011789126659512456,-0.10784648369579515,0.006239219032615206,0.2391365726517441,0.03541836527452186,-0.05416666099984013,0.08485976822078856,0.20599967015035875,0.09377601167228622,0.009633550941241936,0.029450030361795054,0.012153516304204868,0.21647784062852912,0.5721535163042049,-0.12559523242841159,-0.1978464836957951,0.017472613072438636,-0.14534648369579511,0.02698192593033194,0.11387043659633556,-0.01586405108049682,-0.21693739278670415,-0.034588900574064774,0.027109345005619567,-0.02170204332950476,0.16038881042185194,0.02142060001204632,0.1149074321020861,-0.11937012263099211,0.2921535163042048,0.0027593254852245064,-0.08117981702912849,0.3757247802702347,0.014463473403102056,-0.04890093032828191,0.09663879476421094,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.08007735324470411,-0.041813533328524,-0.30416666099984013,0.017261910428731264,0.11387043659633556,0.12798986077783103,0.027109345005619567,0.04133325567177004,-0.03534592901152522,-0.013309158886994688,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Anivia,0.019429416167288382,-0.5904935957442171,-0.061081831038334755,-0.5904935957442171,0.20950640425578293,-0.5904935957442171,-0.1904935957442171,0.024891019640398304,0.14283973758911617,0.15950640425578289,0.4095064042557829,0.4095064042557829,-0.03065960337804738,0.4095064042557829,0.19364418004151795,-0.0012211578150428393,0.4095064042557829,0.07617307092244952,-0.1904935957442171,0.020686466671476,-0.5904935957442171,-0.2571602624108838,0.25193137867583204,0.24283973758911626,0.009506404255782863,0.12379211854149719,-0.5904935957442171,-0.012072377516102906,-0.2571602624108838,0.4095064042557829,-0.2571602624108838,0.24419189400482788,0.06625006667217992,-0.047394992365861366,0.4095064042557829,0.20950640425578293,0.4095064042557829,0.20950640425578293,0.4095064042557829,-0.2571602624108838,0.4095064042557829,-0.2571602624108838,-0.1904935957442171,0.15950640425578289,-0.04063751022268092,0.02943481676717974,0.12379211854149719,0.034506404255782885,0.13634519415344493,0.009506404255782863,0.4095064042557829,0.35213205370472705,-0.5904935957442171,-0.5904935957442171,0.05337979291003969,-0.16192216717278857,0.07617307092244952,-0.3904935957442171,0.006239219032615206,0.2391365726517441,0.03541836527452186,-0.05416666099984013,0.08485976822078856,-0.09049359574421711,0.09377601167228622,0.009633550941241936,0.029450030361795054,-0.2904935957442171,0.20950640425578293,0.24283973758911626,-0.5904935957442171,0.0013818566266951826,0.4095064042557829,0.034506404255782885,-0.5904935957442171,0.4095064042557829,0.20950640425578293,0.24283973758911626,-0.034588900574064774,-0.09049359574421711,-0.02170204332950476,0.13677913152851018,-0.2571602624108838,0.1149074321020861,-0.5904935957442171,0.07617307092244952,0.0027593254852245064,0.034506404255782885,0.3757247802702347,0.014463473403102056,-0.04890093032828191,0.4095064042557829,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.4095064042557829,-0.041813533328524,-0.30416666099984013,0.4095064042557829,0.11387043659633556,-0.5904935957442171,0.027109345005619567,0.09700640425578289,0.4095064042557829,-0.5904935957442171,0.4095064042557829,0.4095064042557829,0.4095064042557829,-0.5904935957442171,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Annie,0.019429416167288382,0.07320245648098722,0.0076003589493392875,0.050213995312975594,-0.25281630771732744,-0.055808105995172164,0.1638503589493393,-0.07965613455715424,-0.075253757273421,0.2709932160921964,0.008611399444163281,0.08007735324470411,-0.03065960337804738,0.14721142005343213,0.19364418004151795,-0.0012211578150428393,-0.022761355952870488,0.11977193813131293,0.12813607323505355,0.020686466671476,-0.04251505010365833,-0.0400351368617623,0.25193137867583204,-0.013762184246626785,-0.055808105995172164,-0.06574147778535457,0.029615038100047397,-0.012072377516102906,-0.07424487914589883,-0.01836897580499608,0.2914013793575026,0.24419189400482788,0.06625006667217992,-0.047394992365861366,-0.004620194196135019,-0.01586405108049682,0.12629645957670632,0.03289797799695832,-0.2321123739699154,-0.09408614898716869,-0.002275970931438165,-0.06103603359192805,0.056707501806482215,0.1420927423737811,-0.04063751022268092,0.02943481676717974,-0.030594085495105183,-0.05673787634477837,0.13634519415344493,-0.09408614898716869,0.08605350701425085,0.35213205370472705,-0.07289065499438041,0.050171717765082724,0.05337979291003969,-0.12750302450930737,-0.011789126659512456,-0.02929832909730796,0.006239219032615206,0.2391365726517441,0.03541836527452186,-0.05416666099984013,0.08485976822078856,-0.2026909944341194,0.09377601167228622,0.009633550941241936,0.029450030361795054,0.04022398532296563,-0.07683287086432534,0.12813607323505355,-0.12559523242841159,-0.30043535533637505,0.017472613072438636,-0.014721069622089284,0.02698192593033194,0.11387043659633556,-0.01586405108049682,-0.15757821247923212,-0.034588900574064774,0.027109345005619567,0.699564644663625,0.050213995312975594,0.02142060001204632,0.1149074321020861,-0.11937012263099211,0.059170555993674254,0.0027593254852245064,-0.014721069622089284,0.3757247802702347,0.014463473403102056,-0.04890093032828191,0.09663879476421094,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.08007735324470411,-0.041813533328524,-0.30416666099984013,0.017261910428731264,0.11387043659633556,0.12798986077783103,0.027109345005619567,0.04133325567177004,-0.03534592901152522,-0.013309158886994688,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Ashe,-0.2611295634036644,0.23291805564395462,-0.06514190908267675,0.01583122091006106,0.09277339018283348,-0.055808105995172164,-0.011733428137963964,-0.07754870531785585,-0.07184384911795011,-0.03395565036018611,0.0027593254852245064,-0.052796230070331074,0.11387043659633556,-0.028986706260807238,0.4472037699296689,0.11387043659633556,-0.3220269993011003,-0.052796230070331074,-0.06470099197509299,-0.10835178562588665,-0.4277962300703311,-0.01086074619936328,-0.052796230070331074,-0.037644714918815936,-0.3027962300703311,-0.12801746900838418,0.22498154770744672,-0.38612956340366444,-0.05051312504750005,0.018632341358240323,0.08053710326300223,-0.21946289673699776,0.4472037699296689,-0.052796230070331074,-0.052796230070331074,-0.019462896736997748,0.11387043659633556,0.11057010656333233,-0.13921598315675082,0.047822964976108606,-0.10835178562588665,-0.10835178562588665,-0.15993908721318822,0.2805371032630023,-0.13174359849138373,-0.35279623007033106,-0.02888318659207023,-0.02875776853186951,-0.5527962300703311,-0.0016151277081263293,0.07878271729808994,0.047203769929668904,-0.07289065499438041,-0.00734168461578566,0.16148948421538323,-0.06020973913128658,0.08356740629330528,-0.07897424054153529,0.047203769929668904,0.4472037699296689,0.22498154770744672,-0.3027962300703311,-0.2670819443560454,0.019617563033117236,0.11387043659633556,0.11387043659633556,0.018632341358240323,-0.1351255473394074,-0.11638725251422133,-0.07479036496769176,-0.38612956340366444,0.22154005311550962,0.13141429624545842,-0.06664238391648492,-0.052796230070331074,0.11387043659633556,-0.0399757172498183,-0.09180332226891263,-0.33057400784810886,0.0027593254852245064,-0.14103152418797815,-0.10835178562588665,0.09720376992966895,0.047203769929668904,-0.27779623007033105,-0.06199868405806114,0.0027593254852245064,-0.07419700828044778,-0.052796230070331074,0.11387043659633556,-0.21946289673699776,0.11387043659633556,-0.052796230070331074,0.2966082229604662,0.24720376992966897,0.009703769929668926,-0.052796230070331074,0.4472037699296689,0.11387043659633556,0.11387043659633556,0.4472037699296689,-0.5527962300703311,-0.052796230070331074,-0.052796230070331074,-0.07911201954401531,-0.052796230070331074,0.22498154770744672,0.4472037699296689,-0.5527962300703311,0.07220376992966893,0.4472037699296689,-0.5527962300703311,0.4472037699296689,0.4472037699296689,-0.5527962300703311,0.4472037699296689,0.4472037699296689,0.2805371032630023,0.11387043659633556,0.2597037699296689,0.4472037699296689,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
AurelionSol,0.019429416167288382,0.07320245648098722,-0.0801587301587301,0.5198412698412699,0.050184893803644465,0.13095238095238104,0.2698412698412699,0.019841269841269882,-0.2801587301587301,0.5198412698412699,0.008611399444163281,0.5198412698412699,-0.03065960337804738,0.14721142005343213,0.19364418004151795,0.019841269841269882,-0.022761355952870488,0.2698412698412699,0.11984126984126986,0.020686466671476,-0.04251505010365833,0.019841269841269882,0.25193137867583204,-0.4801587301587301,-0.4801587301587301,0.019841269841269882,-0.4801587301587301,0.5198412698412699,0.019841269841269882,-0.4801587301587301,0.07703760005851235,0.24419189400482788,0.06625006667217992,-0.047394992365861366,-0.004620194196135019,-0.01586405108049682,0.12629645957670632,-0.1468253968253968,0.5198412698412699,0.019841269841269882,-0.4801587301587301,-0.06103603359192805,0.1865079365079365,0.1420927423737811,-0.04063751022268092,0.5198412698412699,-0.0801587301587301,-0.23015873015873012,0.13634519415344493,-0.23015873015873012,0.08605350701425085,0.5198412698412699,-0.07289065499438041,0.050171717765082724,0.05337979291003969,-0.05158730158730157,-0.011789126659512456,0.35317460317460325,0.006239219032615206,0.2391365726517441,-0.4801587301587301,-0.05416666099984013,0.08485976822078856,0.11984126984126986,0.5198412698412699,0.009633550941241936,0.029450030361795054,0.3198412698412699,0.019841269841269882,-0.4801587301587301,-0.12559523242841159,0.1865079365079365,-0.4801587301587301,0.07539682539682546,0.02698192593033194,0.11387043659633556,-0.4801587301587301,-0.055521722241475446,-0.4801587301587301,0.027109345005619567,-0.02170204332950476,-0.4801587301587301,-0.1468253968253968,0.1149074321020861,0.019841269841269882,-0.4801587301587301,0.0027593254852245064,0.5198412698412699,0.3757247802702347,0.014463473403102056,-0.04890093032828191,0.09663879476421094,0.08209497106968583,0.2966082229604662,0.06832791653024128,0.5198412698412699,-0.4801587301587301,0.5198412698412699,0.017261910428731264,0.11387043659633556,-0.4801587301587301,0.027109345005619567,0.04133325567177004,0.5198412698412699,0.019841269841269882,0.22026689996487991,0.006239219032615206,0.17607546863944834,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.5468538320570846,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,-0.4801587301587301,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.1429334823623652,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
Azir,0.019429416167288382,-0.6529201517187787,-0.05292015171877873,0.013746514947887922,0.3470798482812213,-0.1529201517187787,-0.6529201517187787,0.04707984828122125,0.09707984828122129,-0.1529201517187787,0.008611399444163281,0.08007735324470411,-0.03065960337804738,0.3470798482812213,0.19364418004151795,-0.0012211578150428393,0.3470798482812213,0.3470798482812213,-0.3195868183854454,-0.6529201517187787,-0.04251505010365833,0.013746514947887922,0.25193137867583204,-0.2529201517187787,0.3470798482812213,-0.26830476710339407,0.029615038100047397,-0.012072377516102906,-0.1529201517187787,0.3470798482812213,-0.05292015171877873,-0.6529201517187787,0.06625006667217992,-0.047394992365861366,-0.004620194196135019,-0.1074656062642333,0.12629645957670632,0.013746514947887922,-0.5100630088616358,-0.1529201517187787,-0.1529201517187787,-0.6529201517187787,0.09707984828122129,0.3470798482812213,0.3470798482812213,0.02943481676717974,0.013746514947887922,-0.4386344374330644,0.3470798482812213,-0.1529201517187787,0.013746514947887922,0.35213205370472705,-0.07289065499438041,0.050171717765082724,0.3470798482812213,0.031290374597010784,0.3470798482812213,0.013746514947887922,0.006239219032615206,0.2391365726517441,0.03541836527452186,-0.05416666099984013,0.3470798482812213,-0.05292015171877873,0.09377601167228622,0.009633550941241936,0.029450030361795054,-0.4029201517187787,-0.03753553633416329,0.3470798482812213,0.3470798482812213,0.09707984828122129,0.017472613072438636,-0.2529201517187787,0.02698192593033194,0.11387043659633556,-0.1529201517187787,0.013746514947887922,0.3470798482812213,0.027109345005619567,0.3470798482812213,0.3470798482812213,0.013746514947887922,0.3470798482812213,0.3470798482812213,-0.027920151718778707,0.0027593254852245064,-0.22434872314735016,0.3757247802702347,0.014463473403102056,-0.04890093032828191,-0.6529201517187787,-0.2084757072743343,0.2966082229604662,0.06832791653024128,0.08007735324470411,0.3470798482812213,0.3470798482812213,0.017261910428731264,0.11387043659633556,0.12798986077783103,0.027109345005619567,0.04133325567177004,-0.6529201517187787,0.3470798482812213,0.3470798482812213,0.3470798482812213,0.3470798482812213,-0.02571662238442679,0.04304031620766713,0.42545357193365946,-0.6529201517187787,0.08242026977560413,0.15244445324448536,0.03125,0.053324296730411724,-0.5303216509330901,0.006239219032615206,0.009026653501873594,0.03177689947530549,0.1322330285656262,0.3470798482812213,0.07135413062580864,0.16785132310118006,-0.01336000802717574,0.06427294366150449,0.09046222976301657,0.10031789288187265,0.03122727479992321,0.12226429578922926,0.060498816632996666,0.10084710628132904,,,-0.03050776228753932,-0.014668266895985466,0.058996377765479724,0.00940880197278171,0.06910061074073415,-0.1523095060864897,
