,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Corki,Diana,Draven,Ekko,Elise,Ezreal,Fiddlesticks,Fizz,Galio,Gragas,Graves,Hecarim,Heimerdinger,Irelia,Ivern,Janna,JarvanIV,Jhin,Jinx,Kaisa,Kalista,Karma,Karthus,Katarina,Kayle,Kayn,Khazix,Kindred,KogMaw,LeeSin,Leona,Lissandra,Lucian,Lulu,Lux,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Pantheon,Pyke,Quinn,Rammus,Rengar,Ryze,Sejuani,Shaco,Shen,Shyvana,Sivir,Sona,Soraka,Swain,Syndra,TahmKench,Taliyah,Talon,Taric,Thresh,Tristana,Trundle,TwistedFate,Twitch,Udyr,Varus,Vayne,Veigar,Velkoz,Vi,Vladimir,Volibear,Warwick,Xayah,Xerath,Yasuo,Zac,Zed,Ziggs,Zilean,Zoe,Zyra,Kassadin,Chogath,Jayce,Malphite,Teemo,Viktor,Darius,DrMundo,Garen,Illaoi,Jax,Kennen,Kled,Nasus,Ornn,Poppy,Renekton,Riven,Rumble,Singed,Sion,Skarner,Tryndamere,XinZhao,Yorick,Evelynn,Fiora,Gangplank,Gnar,Rakan,Urgot,RekSai,Leblanc,Nami
Aatrox,-0.017430298109185116,0.5108715886832678,-0.016401138589459574,0.5108715886832678,0.12625620406788313,0.010871588683267708,0.10661626953433151,-0.010019776219239274,0.11087158868326769,-0.05162841131673229,-0.060556982745303745,-0.10451302670134766,0.043480284335441655,-0.4891284113167323,-0.007347034798513674,0.07147764928932826,0.010871588683267708,-0.08003750222582318,0.11087158868326769,0.03461650048788095,-0.08172100390932491,0.010871588683267708,-0.01007635884106578,0.044204922016601034,0.14723522504690406,-0.30731022949855047,0.06541704322872227,0.0823001601118391,-0.08912841131673227,0.07855717820291835,-0.010867541751514886,0.5108715886832678,0.010871588683267708,-0.13198555417387514,0.014016242771318022,0.04240312021479925,-0.0012401240554043014,-0.01607451910116342,0.19268977050144948,0.10178067959235865,0.06642714423882329,-0.18143610362442458,-0.11412841131673229,-0.4891284113167323,-0.11412841131673229,0.005377083188762233,-0.2891284113167323,-0.4891284113167323,-0.13198555417387514,0.045235849851652576,0.02811296799361257,0.03917347547572053,0.06642714423882329,0.2608715886832677,0.1579304122126795,0.031151308962987956,0.05632613413781312,0.05253825534993434,-0.01854017602261465,0.010871588683267708,-0.05162841131673229,0.0823001601118391,-0.07736370543437937,0.010871588683267708,0.11956724085718079,0.05141212922380828,0.05925868545746121,0.06642714423882329,0.010871588683267708,0.11087158868326769,-0.1424617446500656,-0.4891284113167323,0.010871588683267708,-0.07246174465006561,-0.15579507798339898,-0.01596456950882269,0.17753825534993434,0.010871588683267708,0.005800594768460399,0.010871588683267708,-0.12549204768036865,0.05632613413781312,0.08981895710432036,-0.060556982745303745,-0.2391284113167323,0.002935080746759744,-0.07246174465006561,0.11087158868326769,-0.00407857742968909,-0.2891284113167323,-0.013090072658585306,0.0116467824817173,0.05925868545746121,0.002674867371792289,0.5108715886832678,0.03742026124963943,-0.07246174465006561,-0.2391284113167323,-0.005001427189748164,0.0023970124120812897,0.017137252843668682,-0.3224617446500656,0.17753825534993434,0.06856389637557542,-0.06605148823980922,0.05632613413781312,0.12625620406788313,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Ahri,0.03482434274928298,0.17336734693877548,-0.09428251401685928,-0.28869742735150744,0.06622448979591838,-0.07891149011510251,-0.020993113081524573,-0.4337755102040816,0.011643097170599692,-0.06104010766190382,-0.2155859302796534,0.03545262098012353,0.042777099312484884,-0.15751947411411682,0.06622448979591838,0.021611173805999806,-0.0031974374443199116,-0.021336706092007024,-0.013637452376992876,0.5662244897959183,0.023906135274781137,-0.28869742735150744,-0.4337755102040816,0.037644102864411944,-0.17820441724504238,0.020666852762351945,0.0194720606986431,0.009147192552549865,-0.019894320363534224,0.06622448979591838,-0.4337755102040816,0.17573237901809977,0.07206408945215201,-0.057893628979806544,0.36622448979591843,0.5662244897959183,0.19122448979591838,0.5662244897959183,-0.02841024211491683,0.024499929811508725,-0.062414554740433115,-0.03408865886658252,-0.015978846295910343,-0.4266980731686613,-0.0861198004484846,0.038946617754114454,0.5662244897959183,0.011643097170599692,0.005231188187840297,-0.033775510204081594,0.028817914936573596,0.049800659257160984,0.5662244897959183,0.5662244897959183,-0.4337755102040816,-0.18377551020408162,-0.4337755102040816,0.040526494387153944,-0.022522177155160916,-0.003181974073080518,-0.01842421573766459,-0.006517530360921953,-0.08187055903382681,-0.006549675146464873,-0.4337755102040816,0.03935965279211104,0.044698517864602105,0.05670375107928008,-0.06544705193723638,-0.4337755102040816,-0.4337755102040816,-0.12061490032170305,-0.04514518789961075,-0.017191662899999793,-0.10895615628390748,0.23289115646258501,0.5662244897959183,-0.1553397454237181,0.02149515008962294,-0.4337755102040816,-0.02019428255499578,0.02334063908159889,-0.4337755102040816,0.0717440262544966,0.03608129704067192,0.06622448979591838,-0.057446308938433166,0.0006327562836249689,-0.4337755102040816,-0.04786311408588373,-0.1004421768707483,0.3162244897959184,0.08301854636744638,0.04233449467419714,-0.1303795209230192,-0.4337755102040816,0.03542956027499505,-0.08454902120012114,0.3162244897959184,0.5662244897959183,-0.4337755102040816,-0.10999269425173447,-0.12331636242588428,-0.4337755102040816,-0.01977006251037261,0.014995384306841941,0.02250930781558469,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Akali,0.03482434274928298,0.13546338226151025,-0.09167128235982475,-0.3850046156931581,0.6149953843068419,-0.3850046156931581,-0.3850046156931581,0.0020921585003902954,-0.3850046156931581,-0.051671282359824766,-0.2155859302796534,0.2149953843068419,0.07653384584530348,-0.15751947411411682,0.05752411993902584,-0.021368252056794435,-0.3850046156931581,0.11499538430684192,-0.3850046156931581,0.11499538430684192,0.11499538430684192,-0.3850046156931581,0.06359351514796341,-0.16278239347093587,0.11499538430684192,0.04356681287827047,-0.13500461569315808,-0.051671282359824766,0.11499538430684192,-0.00405223474077715,0.15070967002112762,0.17573237901809977,0.07206408945215201,0.014995384306841941,0.08690549666639247,0.031053778467425852,0.08129524675526006,0.06954083885229645,0.6149953843068419,-0.010004615693158081,-0.3850046156931581,-0.3850046156931581,-0.051671282359824766,-0.4266980731686613,-0.3850046156931581,-0.13500461569315808,-0.3850046156931581,0.011643097170599692,0.28166205097350855,0.11098254321534912,0.028817914936573596,-0.021368252056794435,0.6149953843068419,-0.24214747283601523,-0.051671282359824766,0.06860363172952233,-0.21833794902649142,0.2149953843068419,0.6149953843068419,-0.051671282359824766,-0.01842421573766459,0.6149953843068419,-0.3850046156931581,-0.3850046156931581,-0.3850046156931581,0.2149953843068419,0.11499538430684192,0.05670375107928008,-0.06544705193723638,0.3649953843068419,-0.08500461569315809,-0.12061490032170305,-0.3850046156931581,0.11499538430684192,-0.10895615628390748,0.14585958183770614,0.2493675356628609,-0.1553397454237181,0.019250703455778062,0.11499538430684192,-0.02019428255499578,0.11499538430684192,0.2149953843068419,0.0717440262544966,0.03608129704067192,0.11499538430684192,0.6149953843068419,-0.3850046156931581,0.09444743910136244,-0.04786311408588373,0.038836443909490925,0.11226314386968345,0.11499538430684192,-0.24214747283601523,0.6149953843068419,0.11499538430684192,0.03542956027499505,-0.08454902120012114,0.06030788430684192,-0.3850046156931581,0.006887276198733805,0.6149953843068419,-0.051671282359824766,-0.16278239347093587,-0.3850046156931581,0.014995384306841941,-0.3850046156931581,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Alistar,0.03482434274928298,0.13546338226151025,-0.42455197132616485,-0.14677419354838706,-0.022466425018262903,-0.07891149011510251,-0.020993113081524573,0.5754480286738352,0.011643097170599692,-0.06104010766190382,-0.2155859302796534,0.03545262098012353,-0.42455197132616485,-0.15751947411411682,0.07544802867383515,0.021611173805999806,-0.0031974374443199116,-0.42455197132616485,-0.013637452376992876,-0.42455197132616485,0.5754480286738352,-0.28869742735150744,0.3754480286738352,0.037644102864411944,-0.17820441724504238,0.020666852762351945,0.5754480286738352,0.009147192552549865,-0.019894320363534224,0.05059975764305541,0.021720044742366745,0.17573237901809977,0.07206408945215201,-0.057893628979806544,-0.42455197132616485,-0.42455197132616485,-0.42455197132616485,-0.42455197132616485,-0.02841024211491683,-0.42455197132616485,-0.062414554740433115,-0.03408865886658252,-0.015978846295910343,-0.4266980731686613,-0.0861198004484846,-0.42455197132616485,-0.3915004251293366,0.011643097170599692,0.005231188187840297,-0.17455197132616485,0.028817914936573596,0.5754480286738352,0.056859196385736,0.13877682218217952,-0.04701946883850153,0.5754480286738352,0.06423396952759924,0.040526494387153944,-0.022522177155160916,-0.003181974073080518,-0.01842421573766459,-0.006517530360921953,-0.08187055903382681,-0.006549675146464873,-0.053057171935723235,0.03935965279211104,0.5754480286738352,0.05670375107928008,-0.06544705193723638,0.009126305907050714,-0.42455197132616485,-0.12061490032170305,-0.04514518789961075,-0.017191662899999793,-0.10895615628390748,0.17544802867383513,0.2493675356628609,-0.1553397454237181,-0.42455197132616485,-0.08396579767047241,-0.42455197132616485,0.02334063908159889,-0.006549675146464873,0.0717440262544966,0.5754480286738352,0.5754480286738352,-0.057446308938433166,0.0006327562836249689,0.07544802867383515,-0.04786311408588373,-0.024551971326164823,0.24211469534050178,0.08301854636744638,0.04233449467419714,-0.1303795209230192,-0.002978497685136472,0.03542956027499505,-0.08454902120012114,0.24211469534050178,0.056287145743647515,0.07544802867383515,-0.10999269425173447,-0.12331636242588428,0.11691542601037508,-0.01977006251037261,0.014995384306841941,0.02250930781558469,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Amumu,0.03482434274928298,0.5517359113426354,0.05173591134263544,-0.28869742735150744,-0.048264088657364534,-0.44826408865736456,0.30173591134263544,-0.010764088657364557,0.011643097170599692,-0.06104010766190382,0.05173591134263544,-0.44826408865736456,0.10729146689819102,-0.44826408865736456,-0.05291525144806225,0.21840257800930207,0.05173591134263544,-0.01969266008593601,-0.44826408865736456,0.008878768485492572,0.5517359113426354,-0.28869742735150744,0.04037227497899909,0.05173591134263544,-0.11493075532403124,-0.11493075532403124,0.5517359113426354,0.05173591134263544,-0.019894320363534224,-0.44826408865736456,-0.01969266008593601,0.17573237901809977,0.07206408945215201,-0.44826408865736456,0.1633863967795286,-0.022732173763747532,0.03745019705692115,0.19459305419977835,-0.048264088657364534,-0.11493075532403124,-0.44826408865736456,-0.03408865886658252,-0.11493075532403124,-0.4266980731686613,-0.0861198004484846,-0.048264088657364534,-0.3915004251293366,0.011643097170599692,-0.11493075532403124,0.05173591134263544,0.5517359113426354,0.5517359113426354,0.5517359113426354,0.21840257800930207,0.30173591134263544,0.15173591134263542,-0.11493075532403124,-0.44826408865736456,-0.19826408865736456,-0.44826408865736456,-0.01842421573766459,-0.006517530360921953,0.21840257800930207,0.5517359113426354,-0.053057171935723235,0.05173591134263544,-0.44826408865736456,0.05670375107928008,-0.06544705193723638,-0.44826408865736456,-0.44826408865736456,-0.12061490032170305,-0.44826408865736456,0.05173591134263544,0.5517359113426354,0.040624800231524316,0.5517359113426354,-0.44826408865736456,-0.32326408865736456,0.5517359113426354,-0.44826408865736456,0.5517359113426354,-0.44826408865736456,0.0717440262544966,0.03608129704067192,0.09019744980417388,-0.057446308938433166,0.0006327562836249689,0.09719045679718086,-0.04786311408588373,-0.0619004522937282,0.01685219041240288,0.12316448277120684,0.05173591134263544,-0.44826408865736456,0.3850692446759688,0.5517359113426354,-0.08454902120012114,0.05173591134263544,-0.19826408865736456,0.21840257800930207,-0.10999269425173447,-0.12331636242588428,-0.11493075532403124,-0.44826408865736456,-0.44826408865736456,0.30173591134263544,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Anivia,0.03482434274928298,-0.4055231997259262,-0.4055231997259262,-0.28869742735150744,-0.1555231997259262,0.04902225481952832,0.5944768002740738,0.1569768002740738,0.011643097170599692,0.09447680027407379,-0.2155859302796534,0.03545262098012353,-0.0721898663925929,-0.15751947411411682,-0.0978308920336185,-0.4055231997259262,-0.4055231997259262,-0.021336706092007024,0.5944768002740738,0.09447680027407379,0.5944768002740738,-0.28869742735150744,0.01308145143686451,-0.4055231997259262,0.09447680027407379,-0.4055231997259262,-0.4055231997259262,0.09447680027407379,-0.019894320363534224,-0.4055231997259262,0.2194768002740738,0.17573237901809977,0.5944768002740738,-0.4055231997259262,0.10667192222529331,0.12781013360740712,0.22862314173748843,0.09447680027407379,-0.4055231997259262,-0.4055231997259262,-0.4055231997259262,-0.03408865886658252,-0.015978846295910343,-0.4266980731686613,-0.0861198004484846,0.09447680027407379,-0.3915004251293366,0.011643097170599692,0.005231188187840297,-0.06177319972592621,-0.4055231997259262,0.09447680027407379,-0.0721898663925929,0.2611434669407404,0.2611434669407404,0.04902225481952832,0.5944768002740738,0.040526494387153944,-0.022522177155160916,-0.4055231997259262,-0.01842421573766459,-0.006517530360921953,0.09447680027407379,-0.006549675146464873,-0.053057171935723235,0.09447680027407379,0.044698517864602105,0.05670375107928008,-0.4055231997259262,-0.4055231997259262,-0.4055231997259262,-0.12061490032170305,-0.04514518789961075,0.5944768002740738,-0.10895615628390748,0.18271209439172087,-0.4055231997259262,-0.1553397454237181,-0.2805231997259262,0.5944768002740738,-0.02019428255499578,-0.4055231997259262,0.5944768002740738,0.0717440262544966,-0.4055231997259262,-0.05552319972592623,-0.057446308938433166,-0.4055231997259262,0.3444768002740738,-0.04786311408588373,0.056015261812535355,-0.014218851899839235,0.09447680027407379,0.5944768002740738,-0.1303795209230192,0.2611434669407404,0.03542956027499505,0.5944768002740738,-0.020907815110541572,-0.0721898663925929,0.02304822884550234,-0.10999269425173447,-0.12331636242588428,0.11691542601037508,-0.4055231997259262,0.5944768002740738,0.02250930781558469,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Annie,0.03482434274928298,0.13546338226151025,0.25252514552311295,-0.28869742735150744,0.2781661711641386,-0.4141415211435537,0.22222211522008267,0.0025251455231130038,0.011643097170599692,0.5858584788564463,-0.4141415211435537,-0.16414152114355368,0.5858584788564463,-0.15751947411411682,0.12971812797925336,0.014429907427874866,0.5858584788564463,-0.08080818781022037,0.08585847885644632,0.06919181218977966,0.25252514552311295,-0.28869742735150744,0.0004926251979097129,0.08585847885644632,-0.4141415211435537,0.08585847885644632,0.25252514552311295,0.009147192552549865,0.08585847885644632,0.08585847885644632,0.014429907427874866,-0.4141415211435537,0.07206408945215201,0.08585847885644632,0.09478705028501772,0.07157276457073203,0.15822689990907784,0.06204895504692248,-0.4141415211435537,-0.4141415211435537,-0.4141415211435537,-0.4141415211435537,0.5858584788564463,-0.4266980731686613,-0.0861198004484846,0.22222211522008267,-0.4141415211435537,0.011643097170599692,-0.4141415211435537,0.1563712993692668,-0.01414152114355366,-0.08080818781022037,0.08585847885644632,0.1858584788564463,-0.08080818781022037,0.0964967767287867,0.08585847885644632,-0.4141415211435537,-0.08080818781022037,0.08585847885644632,0.08585847885644632,-0.4141415211435537,-0.08080818781022037,0.08585847885644632,-0.053057171935723235,-0.12842723542926798,0.1858584788564463,0.05670375107928008,-0.4141415211435537,0.08585847885644632,-0.16414152114355368,-0.12061490032170305,-0.4141415211435537,-0.03914152114355368,-0.4141415211435537,0.19370161611134823,0.5858584788564463,-0.1553397454237181,0.05954268938276208,-0.4141415211435537,-0.02019428255499578,0.5858584788564463,-0.006549675146464873,-0.4141415211435537,0.5858584788564463,-0.122474854476887,-0.4141415211435537,-0.4141415211435537,0.04040393340190085,-0.04786311408588373,0.08585847885644632,0.13380368433589834,0.4191918121897797,0.3358584788564463,-0.4141415211435537,-0.24747485447688702,0.08585847885644632,-0.08454902120012114,0.041414034412001866,0.25252514552311295,-0.11414152114355369,-0.4141415211435537,-0.12331636242588428,-0.4141415211435537,0.3358584788564463,0.5858584788564463,0.08585847885644632,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Ashe,0.03482434274928298,0.13546338226151025,-0.09428251401685928,-0.28869742735150744,-0.022466425018262903,-0.07891149011510251,-0.020993113081524573,0.46654171051013704,0.011643097170599692,-0.06104010766190382,-0.2155859302796534,0.03545262098012353,0.042777099312484884,-0.15751947411411682,-0.10929971476965221,0.021611173805999806,-0.0031974374443199116,-0.021336706092007024,-0.013637452376992876,-0.4103509820507582,0.023906135274781137,-0.28869742735150744,-0.15459061338716373,0.037644102864411944,-0.17820441724504238,0.020666852762351945,0.0194720606986431,0.009147192552549865,-0.019894320363534224,0.05059975764305541,0.021720044742366745,0.17573237901809977,0.07206408945215201,-0.057893628979806544,-0.22828427893430106,0.40283583113605487,-0.13083145345666586,0.5041860937766401,-0.02841024211491683,0.024499929811508725,-0.062414554740433115,-0.03408865886658252,-0.015978846295910343,-0.4266980731686613,-0.0861198004484846,0.038946617754114454,-0.3915004251293366,0.011643097170599692,0.005231188187840297,-0.15459061338716373,0.028817914936573596,0.049800659257160984,0.056859196385736,0.13877682218217952,-0.04701946883850153,0.059241825987316775,0.06423396952759924,0.040526494387153944,-0.022522177155160916,-0.003181974073080518,-0.01842421573766459,-0.006517530360921953,-0.08187055903382681,-0.006549675146464873,-0.053057171935723235,0.03935965279211104,0.044698517864602105,0.05670375107928008,-0.06544705193723638,0.009126305907050714,-0.08516265108929275,-0.12061490032170305,-0.04514518789961075,-0.017191662899999793,-0.10895615628390748,0.5896490179492418,0.2493675356628609,-0.1553397454237181,0.02149515008962294,-0.08396579767047241,-0.02019428255499578,0.02334063908159889,-0.006549675146464873,0.0717440262544966,0.03608129704067192,-0.3961420726805584,-0.057446308938433166,0.0006327562836249689,0.02947439034395566,-0.04786311408588373,-0.04854363125835619,-0.19988151200467524,0.08301854636744638,0.04233449467419714,-0.1303795209230192,-0.002978497685136472,0.03542956027499505,-0.08454902120012114,-0.18993960743009958,0.056287145743647515,0.007435712189663157,-0.10999269425173447,-0.12331636242588428,0.11691542601037508,-0.01977006251037261,0.014995384306841941,0.02250930781558469,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
AurelionSol,0.03482434274928298,0.13546338226151025,-0.09428251401685928,-0.28869742735150744,-0.022466425018262903,-0.07891149011510251,0.5463104683121089,-0.12035619835455769,-0.12035619835455769,-0.06104010766190382,-0.2155859302796534,-0.453689531687891,-0.453689531687891,-0.15751947411411682,0.046310468312109,-0.453689531687891,0.046310468312109,0.5463104683121089,-0.453689531687891,0.21297713497877563,0.5463104683121089,-0.28869742735150744,-0.01890692299223884,0.5463104683121089,-0.17820441724504238,0.020666852762351945,0.5463104683121089,0.009147192552549865,-0.019894320363534224,0.5463104683121089,-0.453689531687891,0.17573237901809977,0.07206408945215201,0.046310468312109,0.13721955922119994,0.1177390397406804,-0.013689531687890999,0.046310468312109,-0.02841024211491683,0.5463104683121089,-0.453689531687891,-0.03408865886658252,-0.453689531687891,-0.4266980731686613,-0.0861198004484846,0.046310468312109,-0.3915004251293366,0.011643097170599692,-0.203689531687891,0.21297713497877563,0.028817914936573596,0.5463104683121089,-0.453689531687891,0.13877682218217952,-0.04701946883850153,0.14631046831210898,0.06423396952759924,-0.453689531687891,-0.022522177155160916,-0.453689531687891,-0.01842421573766459,-0.006517530360921953,0.5463104683121089,-0.006549675146464873,-0.053057171935723235,0.5463104683121089,0.044698517864602105,0.05670375107928008,-0.06544705193723638,0.009126305907050714,0.14631046831210898,-0.12061490032170305,-0.04514518789961075,-0.017191662899999793,-0.453689531687891,-0.1679752459736053,0.2493675356628609,-0.1553397454237181,0.21297713497877563,-0.08396579767047241,-0.02019428255499578,0.02334063908159889,-0.006549675146464873,0.0717440262544966,0.03608129704067192,0.34631046831210904,-0.057446308938433166,-0.453689531687891,0.14631046831210898,-0.04786311408588373,-0.06907414707250636,0.5463104683121089,-0.453689531687891,-0.453689531687891,-0.1303795209230192,-0.002978497685136472,-0.453689531687891,0.046310468312109,0.1177390397406804,-0.453689531687891,-0.203689531687891,-0.10999269425173447,-0.12331636242588428,0.5463104683121089,-0.01977006251037261,-0.453689531687891,0.02250930781558469,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
Azir,0.03482434274928298,0.602003765434485,-0.3979962345655151,-0.28869742735150744,-0.14799623456551508,-0.3979962345655151,-0.020993113081524573,0.10200376543448492,0.011643097170599692,-0.12526896183824238,-0.2155859302796534,0.03545262098012353,-0.3979962345655151,0.602003765434485,0.0020037654344849387,0.26867043210115155,0.26867043210115155,-0.021336706092007024,-0.013637452376992876,-0.06466290123218177,0.602003765434485,-0.28869742735150744,0.02508068851140799,-0.3979962345655151,-0.3979962345655151,0.602003765434485,0.10200376543448492,0.009147192552549865,-0.3979962345655151,-0.3979962345655151,-0.06466290123218177,0.17573237901809977,0.07206408945215201,-0.19799623456551507,-0.06466290123218177,0.10200376543448492,0.03678637413013708,0.602003765434485,-0.02841024211491683,0.3520037654344849,-0.3979962345655151,-0.03408865886658252,-0.015978846295910343,-0.4266980731686613,-0.0861198004484846,0.3520037654344849,-0.3979962345655151,0.011643097170599692,0.005231188187840297,0.190239059552132,-0.3979962345655151,-0.3979962345655151,-0.3979962345655151,0.602003765434485,-0.04701946883850153,0.1575593209900405,-0.3979962345655151,0.602003765434485,-0.022522177155160916,-0.003181974073080518,-0.01842421573766459,-0.3979962345655151,-0.08187055903382681,-0.006549675146464873,-0.3979962345655151,0.26867043210115155,0.044698517864602105,0.05670375107928008,-0.06544705193723638,0.10200376543448492,-0.14799623456551508,-0.3979962345655151,-0.04514518789961075,-0.3979962345655151,-0.10895615628390748,0.10200376543448492,0.2493675356628609,-0.1553397454237181,0.2020037654344849,-0.08396579767047241,-0.02019428255499578,0.02334063908159889,-0.3979962345655151,0.0717440262544966,0.602003765434485,-0.06466290123218177,-0.057446308938433166,0.0006327562836249689,-0.06466290123218177,-0.04786311408588373,0.046448209878929336,-0.08549623456551508,0.602003765434485,-0.3979962345655151,-0.1303795209230192,0.10200376543448492,-0.3979962345655151,-0.3979962345655151,-0.06466290123218177,0.602003765434485,0.046448209878929336,-0.10999269425173447,-0.12331636242588428,0.602003765434485,-0.01977006251037261,0.014995384306841941,0.02250930781558469,0.45485481210038925,-0.03601229756511609,0.008535924872193512,0.020975459058964474,0.03467643212459426,0.032251558030085836,-0.0172991310038057,-0.008002678203202773,0.023602624845883158,0.05409838639353648,0.020200868996194277,-0.02561210860057389,0.018997489453650207,0.0003154548259251544,0.03977268783010762,0.03530002162400059,-0.042093922153666224,-0.013973540963442777,0.06811133504552325,-0.012781719013356285,0.00939108301843311,-0.41346973869534687,0.03182103587900861,-0.43885821287965376,-0.06391870295932806,,0.16537193479989326,-0.014224350150540105,0.010866908315070423,-0.07971014492753614,-0.021397929526185827,-0.45949883572616873,,
